Gene;Signature;Label;Class;Reference;DOI;Geneset_size;Description;Remark;use_ssgsea
CXCL13;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]";;TRUE
IL2RG;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]";;TRUE
NKG7;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]";;TRUE
HLA-E;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]";;TRUE
CXCR6;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]";;TRUE
LAG3;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]";;TRUE
TAGAP;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"T cell activation RhoGTPase activating protein [Source:HGNC Symbol;Acc:HGNC:15669]";;TRUE
GZMB;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]";;TRUE
CXCR6;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]";;TRUE
TIGIT;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]";;TRUE
CD27;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]";;TRUE
CD274;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]";;TRUE
PDCD1LG2;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]";;TRUE
LAG3;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]";;TRUE
NKG7;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]";;TRUE
PSMB10;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]";;TRUE
CMKLR1;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]";;TRUE
CD8A;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]";;TRUE
IDO1;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]";;TRUE
CCL5;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]";;TRUE
CXCL9;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]";;TRUE
HLA-DQA1;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]";;TRUE
CD276;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]";;TRUE
HLA-DRB1;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]";;TRUE
STAT1;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]";;TRUE
HLA-E;Ayers_T_cell_inflamed_GEP;Ayers T cell inflamed;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]";;TRUE
NKG7;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]";;TRUE
CD160;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]";;TRUE
CD244;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]";;TRUE
NCR1;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]";;TRUE
KLRC2;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"killer cell lectin like receptor C2 [Source:HGNC Symbol;Acc:HGNC:6375]";;TRUE
KLRK1;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]";;TRUE
CD226;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961]";;TRUE
GZMH;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"granzyme H [Source:HGNC Symbol;Acc:HGNC:4710]";;TRUE
GNLY;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"granulysin [Source:HGNC Symbol;Acc:HGNC:4414]";;TRUE
IFNG;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]";;TRUE
KIR2DL4;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]";;TRUE
EOMES;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]";;TRUE
GZMB;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]";;TRUE
FGFBP2;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"fibroblast growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29451]";;TRUE
KLRF1;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"killer cell lectin like receptor F1 [Source:HGNC Symbol;Acc:HGNC:13342]";;TRUE
SH2D1B;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"SH2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:30416]";;TRUE
NCR3;NK_cells;NK cells;Cytotoxic T and NK cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;17;"natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]";;TRUE
CD19;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]";;TRUE
MS4A1;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]";;TRUE
TNFRSF13C;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]";;TRUE
CR2;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]";;TRUE
TNFRSF17;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]";;TRUE
TNFRSF13B;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]";;TRUE
CD22;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]";;TRUE
CD79A;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]";;TRUE
CD79B;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]";;TRUE
BLK;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]";;TRUE
FCRL5;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508]";;TRUE
PAX5;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]";;TRUE
STAP1;B_cells;B cells;B cells;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;13;"signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]";;TRUE
MPO;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]";;TRUE
ELANE;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]";;TRUE
PRTN3;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495]";;TRUE
CTSG;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532]";;TRUE
CXCR1;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"C-X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]";;TRUE
CXCR2;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]";;TRUE
FCGR3B;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]";;TRUE
CD177;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"CD177 molecule [Source:HGNC Symbol;Acc:HGNC:30072]";;TRUE
FFAR2;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]";;TRUE
PGLYRP1;Neutrophil_signature;Neutrophil signature;Granulocytes;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;10;"peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]";;TRUE
IL10;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]";;TRUE
MRC1;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]";;TRUE
MSR1;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]";;TRUE
CD163;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]";;TRUE
CSF1R;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]";;TRUE
IL4I1;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]";;TRUE
SIGLEC1;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]";;TRUE
CD68;Tumor_associated_Macrophages;TAMs;Tumor promotive immune infiltrate;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;8;"CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]";;TRUE
COL1A1;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]";;TRUE
COL1A2;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]";;TRUE
COL5A1;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]";;TRUE
ACTA2;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]";;TRUE
FGF2;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]";;TRUE
FAP;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]";;TRUE
LRP1;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]";;TRUE
CD248;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]";;TRUE
COL6A1;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]";;TRUE
COL6A2;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]";;TRUE
COL6A3;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]";;TRUE
CXCL12;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]";;TRUE
FBLN1;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]";;TRUE
LUM;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"lumican [Source:HGNC Symbol;Acc:HGNC:6724]";;TRUE
MFAP5;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]";;TRUE
MMP3;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]";;TRUE
MMP2;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]";;TRUE
PDGFRB;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]";;TRUE
PDGFRA;Cancer_associated_fibroblasts;CAFs;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;19;"platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]";;TRUE
CA9;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]";;TRUE
MMP9;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]";;TRUE
MMP2;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]";;TRUE
MMP1;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]";;TRUE
MMP3;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]";;TRUE
MMP12;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]";;TRUE
MMP7;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]";;TRUE
MMP11;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]";;TRUE
PLOD2;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]";;TRUE
ADAMTS4;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]";;TRUE
ADAMTS5;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]";;TRUE
LOX;Matrix_remodeling;Matrix remodeling;CAF;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;12;"lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]";;TRUE
VEGFA;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]";;TRUE
VEGFB;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]";;TRUE
VEGFC;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]";;TRUE
PDGFC;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]";;TRUE
CXCL8;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]";;TRUE
CXCR2;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]";;TRUE
FLT1;Angiogenesis;Angiogenesis;Angiogenesis;Bagaev et al. 2021;https://doi.org/10.1016/j.ccell.2021.04.014;15;"fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]";;TRUE
